"filename", "language", "Java", "Markdown", "JSON", "YAML", "Ini", "XML", "Log", "Java Properties", "comment", "blank", "total"
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\.metadata\.plugins\org.eclipse.core.resources\.projects\Traitors\org.eclipse.egit.core\GitProjectData.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 4
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\.metadata\.plugins\org.eclipse.jdt.launching\.install.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\.metadata\.plugins\org.eclipse.jdt.launching\libraryInfos.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\.metadata\.plugins\org.eclipse.jdt.ui\OpenTypeHistory.xml", "XML", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\.metadata\.plugins\org.eclipse.jdt.ui\QualifiedTypeNameHistory.xml", "XML", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\.metadata\.plugins\org.eclipse.jdt.ui\dialog_settings.xml", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\.metadata\.plugins\org.eclipse.m2e.logback\0.log", "Log", 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\.metadata\.plugins\org.eclipse.m2e.logback\logback.2.2.1.20231030-1438.xml", "XML", 0, 0, 0, 0, 0, 37, 0, 0, 0, 5, 42
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\.metadata\.plugins\org.eclipse.tips.ide\dialog_settings.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\.metadata\.plugins\org.eclipse.ui.ide\dialog_settings.xml", "XML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\.metadata\.plugins\org.eclipse.ui.intro\dialog_settings.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\.metadata\.plugins\org.eclipse.ui.workbench\dialog_settings.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\.metadata\.plugins\org.eclipse.ui.workbench\workingsets.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\.metadata\version.ini", "Ini", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\REPRISE_CONTEXTE_CharactUHC.md", "Markdown", 0, 66, 0, 0, 0, 0, 0, 0, 0, 30, 96
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\.VSCodeCounter\2025-06-19_14-00-25\details.md", "Markdown", 0, 187, 0, 0, 0, 0, 0, 0, 0, 6, 193
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\.VSCodeCounter\2025-06-19_14-00-25\diff-details.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 15
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\.VSCodeCounter\2025-06-19_14-00-25\diff.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 7, 19
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\.VSCodeCounter\2025-06-19_14-00-25\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\.VSCodeCounter\2025-06-19_14-00-25\results.md", "Markdown", 0, 37, 0, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\RoleStar.class", "Java", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\Role\Chewbaca.class", "Java", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\Role\DarkMaul.class", "Java", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\Role\DarkVador.class", "Java", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\Role\Dooku.class", "Java", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\Role\Grievous.class", "Java", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\Role\HanSolo.class", "Java", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\Role\Impe.class", "Java", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\Role\Jango$1.class", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\Role\Jango$10.class", "Java", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\Role\Jango$2.class", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\Role\Jango$3.class", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\Role\Jango$4.class", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\Role\Jango$5.class", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\Role\Jango$6.class", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\Role\Jango$7.class", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\Role\Jango$8.class", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\Role\Jango$9.class", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\Role\Jango.class", "Java", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\Role\Leila.class", "Java", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\Role\Luke.class", "Java", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\Role\Obiwan.class", "Java", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\Role\Palpatine.class", "Java", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\Role\QuiGon.class", "Java", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\Role\Stormtrooper.class", "Java", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\Role\Windu.class", "Java", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\Role\Yoda.class", "Java", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\RolesStar.class", "Java", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\StarListener$1.class", "Java", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\StarListener$2.class", "Java", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\StarListener$3.class", "Java", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\StarListener$4.class", "Java", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\StarListener$5.class", "Java", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\StarListener$6.class", "Java", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\StarParty\StarListener$7.class", "Java", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
